,0
0,59.18976558116473
1,55.98925392517889
2,50.173566241358905
3,44.508130587747615
4,39.65546048510932
5,35.56614703411011
6,30.40233898075336
7,25.0295610946751
8,20.386910536679945
9,16.630042816665142
10,13.58220735870765
11,11.104771430333246
12,9.088353665724282
13,7.44438443996383
14,6.102567049167361
15,5.005815944466339
16,4.108703276044464
17,3.37609303438533
18,2.7923176036068442
19,2.4624901165642297
20,2.5542717222208626
21,2.4129260164894935
22,2.1961841312066603
23,1.9488534352686897
24,1.6956749922692564
25,1.456428974583962
26,1.2406528224182263
27,1.0505425058294364
28,0.8847926672676322
29,0.7421849747975157
30,0.62057981323582
31,0.5171470096132772
32,0.42997844464666374
33,0.43141621367934074
34,0.4239843382066285
35,0.6602027232350398
36,4.0125794714421135
37,5.194677332047468
38,5.0221796189922525
39,4.460140484994279
40,3.8254617322590905
41,3.224724640253273
42,2.6915423982149322
43,2.2359168962022435
44,1.8517633921129257
45,1.5292839767919206
46,1.259618377483335
47,1.0363820221539444
48,0.8515813478546924
49,0.699023042340369
50,0.5734531354932277
51,0.47011472519851577
52,0.38529014166511
53,0.31565174365022397
54,0.25858243038811246
55,0.21176344445830889
56,0.17336150275070716
57,0.14186556570831005
58,0.283790638219663
59,1.4192008506082965
60,3.0876444080577348
61,4.207174292001862
